DATE,TRFVOLUSM227NFWA
1980-12-01,-1.1133509291058015
1981-01-01,-1.3316946983410924
1981-02-01,-1.4989306742453439
1981-03-01,-1.0419920749553864
1981-04-01,-1.0263543482446924
1981-05-01,-0.8928051209025212
1981-06-01,-0.8651971047383978
1981-07-01,-0.7412844818596352
1981-08-01,-0.6946274483190115
1981-09-01,-0.9634139888308486
1981-10-01,-0.9172622374114289
1981-11-01,-1.1132065062895522
1981-12-01,-1.1224394486820055
1982-01-01,-1.4991496238067306
1982-02-01,-1.5612316865625713
1982-03-01,-1.032979306330154
1982-04-01,-0.9942565874626761
1982-05-01,-0.7619845860497669
1982-06-01,-0.7230926273028768
1982-07-01,-0.5170557414609945
1982-08-01,-0.49542274874440917
1982-09-01,-0.8482683933389386
1982-10-01,-0.7943434978665148
1982-11-01,-1.0593661388943134
1982-12-01,-1.0575226023416444
1983-01-01,-1.2452746888692727
1983-02-01,-1.4429951235124616
1983-03-01,-0.9263410406525757
1983-04-01,-0.9279926267448984
1983-05-01,-0.6913836239006009
1983-06-01,-0.6268430403948709
1983-07-01,-0.4271683495115928
1983-08-01,-0.4113874264995388
1983-09-01,-0.7693815182177436
1983-10-01,-0.6825071941354612
1983-11-01,-0.9063678183823174
1983-12-01,-0.9958533562577615
1984-01-01,-1.1684707424689051
1984-02-01,-1.2948019854943018
1984-03-01,-0.8263983563348704
1984-04-01,-0.7397111391397504
1984-05-01,-0.5399194176027159
1984-06-01,-0.4934050678352849
1984-07-01,-0.3351330065212634
1984-08-01,-0.27593758749931735
1984-09-01,-0.6404673055188557
1984-10-01,-0.609044277605514
1984-11-01,-0.8271641886081136
1984-12-01,-0.8530323750365533
1985-01-01,-1.1296671877720705
1985-02-01,-1.2470106571557833
1985-03-01,-0.6745927704987402
1985-04-01,-0.6085355437783317
1985-05-01,-0.4290270082495324
1985-06-01,-0.39137015002673414
1985-07-01,-0.2404285875118897
1985-08-01,-0.19476683071544706
1985-09-01,-0.5523153762463386
1985-10-01,-0.47030833740264677
1985-11-01,-0.7493981396906747
1985-12-01,-0.7342533539480859
1986-01-01,-0.9221821630279925
1986-02-01,-1.1441264077736697
1986-03-01,-0.5371959783751412
1986-04-01,-0.5552524557883848
1986-05-01,-0.35831408956176963
1986-06-01,-0.3227487771302025
1986-07-01,-0.16518071425302075
1986-08-01,-0.11533460533096815
1986-09-01,-0.4533527761773621
1986-10-01,-0.3775651208308624
1986-11-01,-0.6049158472574153
1986-12-01,-0.568253998049743
1987-01-01,-0.7698108849284943
1987-02-01,-0.8552183940979345
1987-03-01,-0.4128359662745155
1987-04-01,-0.37065812594429354
1987-05-01,-0.22436074147896126
1987-06-01,-0.22346562618220922
1987-07-01,-0.08431151325009427
1987-08-01,-0.057176843347041824
1987-09-01,-0.28937386108049173
1987-10-01,-0.24123874170234794
1987-11-01,-0.44922045475879674
1987-12-01,-0.45107350342004393
1988-01-01,-0.5833291396227336
1988-02-01,-0.7307757405249191
1988-03-01,-0.22328663512453392
1988-04-01,-0.24181498430538056
1988-05-01,-0.04595251460232278
1988-06-01,-0.035038938534553955
1988-07-01,0.06562013759974455
1988-08-01,0.0611297402652847
1988-09-01,-0.16591814393963683
1988-10-01,-0.08952830670309105
1988-11-01,-0.31190821272153973
1988-12-01,-0.2781606448107195
1989-01-01,-0.3716170040016667
1989-02-01,-0.6269658749842835
1989-03-01,-0.09789406579202176
1989-04-01,-0.10941792463153256
1989-05-01,0.0663353781286825
1989-06-01,0.05446312437086376
1989-07-01,0.16485628162387214
1989-08-01,0.21457134813888568
1989-09-01,-0.05805763037895191
1989-10-01,0.029705043105822705
1989-11-01,-0.18948809496092267
1989-12-01,-0.22876859718946446
1990-01-01,-0.30007817916462576
1990-02-01,-0.49035174103215295
1990-03-01,-0.03367752510521127
1990-04-01,-0.029278161579385495
1990-05-01,0.13739391578833926
1990-06-01,0.14186693271686054
1990-07-01,0.23458583249905873
1990-08-01,0.2588767346753512
1990-09-01,-0.03966562975500552
1990-10-01,0.030544025632078142
1990-11-01,-0.15727351164662326
1990-12-01,-0.20926901150471955
1991-01-01,-0.40681767058002793
1991-02-01,-0.49442353347473533
1991-03-01,-0.02855674370891016
1991-04-01,-0.020816606605939685
1991-05-01,0.17966800049244885
1991-06-01,0.2036444727493643
1991-07-01,0.27908375095724275
1991-08-01,0.36382467478670955
1991-09-01,0.04629307740207039
1991-10-01,0.12463625545443731
1991-11-01,-0.19023151654895148
1991-12-01,-0.13603961690709895
1992-01-01,-0.22658177903694415
1992-02-01,-0.3630918548597526
1992-03-01,0.049302239217468284
1992-04-01,0.08651931913760166
1992-05-01,0.25381130581697237
1992-06-01,0.26154333122572543
1992-07-01,0.401174441907797
1992-08-01,0.37396508662689065
1992-09-01,0.1636448947639059
1992-10-01,0.22482654107541591
1992-11-01,-0.05714297207950233
1992-12-01,0.0035298881414896773
1993-01-01,-0.15526058844245616
1993-02-01,-0.31399202926576353
1993-03-01,0.11544010138698038
1993-04-01,0.12928746361268115
1993-05-01,0.39192784348073295
1993-06-01,0.294594738687188
1993-07-01,0.447658194157651
1993-08-01,0.4447363217038436
1993-09-01,0.20826805903968262
1993-10-01,0.27007575608751105
1993-11-01,0.025407754847836635
1993-12-01,0.09874821528303038
1994-01-01,-0.1969483450966497
1994-02-01,-0.24830534169032484
1994-03-01,0.24563062721306045
1994-04-01,0.23361747813419712
1994-05-01,0.4008545628149125
1994-06-01,0.41081298123950105
1994-07-01,0.5175593317023877
1994-08-01,0.5212914529561516
1994-09-01,0.31107496196300644
1994-10-01,0.34612204045695394
1994-11-01,0.15049276433848335
1994-12-01,0.1977382826984191
1995-01-01,0.20939959821502027
1995-02-01,-0.16625180256176156
1995-03-01,0.3217828668949234
1995-04-01,0.2764478415744367
1995-05-01,0.4867430319341687
1995-06-01,0.46951054210004833
1995-07-01,0.551079490920464
1995-08-01,0.5789995584129942
1995-09-01,0.3609232210530632
1995-10-01,0.4030494114780815
1995-11-01,0.213936971801168
1995-12-01,0.20168739099918875
1996-01-01,0.04418159442450207
1996-02-01,-0.07102828342002228
1996-03-01,0.3654288442474631
1996-04-01,0.38129188075639514
1996-05-01,0.5715905329859496
1996-06-01,0.5283516172631245
1996-07-01,0.6586879943079162
1996-08-01,0.7108247014325139
1996-09-01,0.415504920898057
1996-10-01,0.5297867349948353
1996-11-01,0.2980424787857751
1996-12-01,0.3252890297788107
1997-01-01,0.15131448659310123
1997-02-01,0.05211242813448469
1997-03-01,0.47777066419852715
1997-04-01,0.4683733524765037
1997-05-01,0.6716444812035948
1997-06-01,0.6203449929671555
1997-07-01,0.8096816646689808
1997-08-01,0.7685760494791313
1997-09-01,0.5002922121059783
1997-10-01,0.6063230532478903
1997-11-01,0.33956972502745053
1997-12-01,0.41142160920546306
1998-01-01,0.2560246672697162
1998-02-01,0.10419409190985576
1998-03-01,0.5097726608405154
1998-04-01,0.5612008870494904
1998-05-01,0.6956910854370164
1998-06-01,0.7066643130671985
1998-07-01,0.8504076792081576
1998-08-01,0.8151336723313194
1998-09-01,0.5823550440528603
1998-10-01,0.7039050436167166
1998-11-01,0.46678056343902424
1998-12-01,0.5388136342662364
1999-01-01,0.20541406778767363
1999-02-01,0.17271056750517327
1999-03-01,0.6001244398791895
1999-04-01,0.6032933118179405
1999-05-01,0.7335067891885396
1999-06-01,0.8002377196402245
1999-07-01,0.8898600081481568
1999-08-01,0.8698627781571291
1999-09-01,0.6479529804128735
1999-10-01,0.7703123826045019
1999-11-01,0.6149607235848649
1999-12-01,0.6096617383871015
2000-01-01,0.3546689450832342
2000-02-01,0.2922890197294187
2000-03-01,0.7556054507961211
2000-04-01,0.693040453519244
2000-05-01,0.8822512150019378
2000-06-01,0.8879688889681137
2000-07-01,0.9147657640776605
2000-08-01,0.9475746480418228
2000-09-01,0.6956910854370164
2000-10-01,0.8068630295190109
2000-11-01,0.6279719549289035
2000-12-01,0.5676590791158037
2001-01-01,0.44546705629327743
2001-02-01,0.31653836975148014
2001-03-01,0.7568585374669891
2001-04-01,0.7559026217193474
2001-05-01,0.9174237809641319
2001-06-01,0.8945764356972372
2001-07-01,0.9780979050396081
2001-08-01,1.0128246269002155
2001-09-01,0.6746990169852463
2001-10-01,0.8642226676986965
2001-11-01,0.7299251128987878
2001-12-01,0.7178200508445111
2002-01-01,0.5236652962827065
2002-02-01,0.42465049030475754
2002-03-01,0.8015105058597707
2002-04-01,0.8161848982627654
2002-05-01,0.9946464434536247
2002-06-01,0.9480109809113643
2002-07-01,1.0495807977835545
2002-08-01,1.0761067851534358
2002-09-01,0.7702352335506151
2002-10-01,0.9198592516003289
2002-11-01,0.7317099726961839
2002-12-01,0.778389203621588
2003-01-01,0.5696391955066651
2003-02-01,0.35813695639782156
2003-03-01,0.8092501532742548
2003-04-01,0.8437774391883083
2003-05-01,1.0124687819912146
2003-06-01,0.9994038554244647
2003-07-01,1.115782625039853
2003-08-01,1.0994865580588127
2003-09-01,0.8190327582365046
2003-10-01,1.0219908830519633
2003-11-01,0.7711737458074793
2003-12-01,0.8327531861909953
2004-01-01,0.6229930004638445
2004-02-01,0.5025702499364467
2004-03-01,0.9905507075334409
2004-04-01,0.9853483622280734
2004-05-01,1.059441651767305
2004-06-01,1.0611695221748503
2004-07-01,1.1597453433945013
2004-08-01,1.124149082527626
2004-09-01,0.894786157066114
2004-10-01,1.0272836647705874
2004-11-01,0.8485541898892666
2004-12-01,0.9134052235828886
2005-01-01,0.6448174879292726
2005-02-01,0.5893142775535262
2005-03-01,1.011733235578041
2005-04-01,0.984055348185134
2005-05-01,1.1223427102619203
2005-06-01,1.1353289663293167
2005-07-01,1.1716488971221024
2005-08-01,1.152440112948234
2005-09-01,0.8790162833980046
2005-10-01,0.9907418864887382
2005-11-01,0.8891185346674186
2005-12-01,0.9226838816222216
2006-01-01,0.7658215819065923
2006-02-01,0.5994167673349334
2006-03-01,1.052286103513476
2006-04-01,0.9814676492651834
2006-05-01,1.1302461367808547
2006-06-01,1.1349417887229383
2006-07-01,1.1308277928739003
2006-08-01,1.1511151272122888
2006-09-01,0.920458637521848
2006-10-01,1.0676518455266912
2006-11-01,0.9172890993533634
2006-12-01,0.9518746085155866
2007-01-01,0.7701837997472655
2007-02-01,0.5792188065987119
2007-03-01,1.0873740016055822
2007-04-01,1.0047603329175114
2007-05-01,1.177818807137596
2007-06-01,1.1530174879917285
2007-07-01,1.1725600090063997
2007-08-01,1.2185311585825034
2007-09-01,0.9248586260155923
2007-10-01,1.1079559167602835
2007-11-01,0.9226838816222216
2007-12-01,0.8546238626474318
2008-01-01,0.7611563980704336
2008-02-01,0.6079114272030153
2008-03-01,1.0017618822981909
2008-04-01,0.9987246862447264
2008-05-01,1.1084499923407694
2008-06-01,1.0623481067019451
2008-07-01,1.1099891487527758
2008-08-01,1.09858758920117
2008-09-01,0.8461855700243411
2008-10-01,1.0432002204270518
2008-11-01,0.8065327460234188
2008-12-01,0.8728342038181692
2009-01-01,0.6642875784859926
2009-02-01,0.5573662259919888
2009-03-01,0.9706254270679946
2009-04-01,0.9902041646630069
2009-05-01,1.071574081872578
2009-06-01,1.0729578626770642
2009-07-01,1.1427894635413316
2009-08-01,1.0949890211615667
2009-09-01,0.8756661325632343
2009-10-01,1.0001662483968985
2009-11-01,0.8166660596882014
2009-12-01,0.8460100423843558
2010-01-01,0.6011584307345486
2010-02-01,0.4590463856735767
2010-03-01,1.0242367284902203
2010-04-01,1.0206662292626807
2010-05-01,1.0558426239555345
2010-06-01,1.0925182778308786
2010-07-01,1.1523495342442223
2010-08-01,1.135568080512325
