ds,y,yhat
1994-10-01,202864.0,204213.64450628046
1994-11-01,190074.0,187961.05670855512
1994-12-01,193087.0,192904.4531745008
1995-01-01,193838.0,178855.8685573819
1995-02-01,171053.0,185356.76446270078
1995-03-01,201227.0,202416.36077537242
1995-04-01,198213.0,201672.95479765747
1995-05-01,212586.0,210813.06774495664
1995-06-01,211370.0,212225.49504019666
1995-07-01,217188.0,219270.36398779598
1995-08-01,219216.0,218294.8575063068
1995-09-01,203866.0,203859.57832006886
1995-10-01,206745.0,206812.1129261098
1995-11-01,194131.0,193235.24038636978
1995-12-01,193341.0,196591.64027905962
1996-01-01,183465.0,191081.19337235324
1996-02-01,176562.0,168349.1554486902
1996-03-01,204172.0,203449.63161269564
1996-04-01,205253.0,201950.26654331436
1996-05-01,218676.0,217955.09975296893
1996-06-01,215551.0,217338.34592135358
1996-07-01,225109.0,222537.08508061134
1996-08-01,229050.0,226110.52876617876
1996-09-01,207604.0,212690.01725203235
1996-10-01,215654.0,211979.82283417802
1996-11-01,199643.0,201624.27599569122
1996-12-01,201462.0,200355.76361376123
1997-01-01,190126.0,192232.7230210127
1997-02-01,183950.0,182327.7393988508
1997-03-01,211952.0,211089.73622256657
1997-04-01,211290.0,212214.21523182315
1997-05-01,226082.0,224696.5412056544
1997-06-01,222254.0,223388.19601165483
1997-07-01,236713.0,231315.68515658847
1997-08-01,233496.0,238331.88196375745
1997-09-01,213547.0,215124.92338112736
1997-10-01,221219.0,220536.6360097494
1997-11-01,202422.0,205826.89659313916
1997-12-01,207322.0,204990.43037984602
1998-01-01,196870.0,196611.1689698074
1998-02-01,187167.0,189304.3192423452
1998-03-01,214222.0,215503.6123745936
1998-04-01,217921.0,214147.197412216
1998-05-01,227899.0,231137.88021332351
1998-06-01,228733.0,225609.57421358905
1998-07-01,239944.0,240232.51374517524
1998-08-01,237143.0,238500.6804228589
1998-09-01,219461.0,218443.36280071735
1998-10-01,228523.0,225894.05245761154
1998-11-01,211178.0,210508.02788997415
1998-12-01,216303.0,214685.22002641132
1999-01-01,193581.0,205921.8529100914
1999-02-01,191485.0,187336.8146615692
1999-03-01,220763.0,217964.95485477385
1999-04-01,220996.0,222303.05210960069
1999-05-01,230786.0,232425.083572695
1999-06-01,235970.0,231044.70786713436
1999-07-01,243116.0,245461.8654433576
1999-08-01,241503.0,241930.49497751056
1999-09-01,224306.0,223849.28200948518
1999-10-01,233631.0,232062.10469701941
1999-11-01,221856.0,216440.37840823276
1999-12-01,221465.0,224629.08014051127
2000-01-01,203442.0,203995.55943630988
2000-02-01,199261.0,199164.07189484412
2000-03-01,232490.0,227899.2695527809
2000-04-01,227698.0,231744.75623990773
2000-05-01,242501.0,239339.7938383114
2000-06-01,242963.0,244728.23376453214
2000-07-01,245140.0,251537.510619496
2000-08-01,247832.0,245637.59300237562
2000-09-01,227899.0,229979.47812146018
2000-10-01,236491.0,236767.9107924952
2000-11-01,222819.0,223341.14788404602
2000-12-01,218390.0,223820.92015279172
2001-01-01,209685.0,203476.51172470953
2001-02-01,200876.0,203030.79969359
2001-03-01,232587.0,232699.74744849856
2001-04-01,232513.0,229745.23827401068
2001-05-01,245357.0,245548.79298979888
2001-06-01,243498.0,245809.97202012537
2001-07-01,250363.0,248729.45214165398
2001-08-01,253274.0,251509.0954956575
2001-09-01,226312.0,233594.76915990558
2001-10-01,241050.0,236309.42427279515
